date,agent_id,type
2026-08-12,8e8520dc-13de-4a80-b461-b1fc2cc207b5,acceptance_collapse
2026-08-13,8e8520dc-13de-4a80-b461-b1fc2cc207b5,acceptance_collapse
2026-08-14,8e8520dc-13de-4a80-b461-b1fc2cc207b5,acceptance_collapse
2026-08-15,8e8520dc-13de-4a80-b461-b1fc2cc207b5,acceptance_collapse
2026-08-16,8e8520dc-13de-4a80-b461-b1fc2cc207b5,acceptance_collapse
2026-08-17,8e8520dc-13de-4a80-b461-b1fc2cc207b5,acceptance_collapse
2026-08-18,8e8520dc-13de-4a80-b461-b1fc2cc207b5,acceptance_collapse
2026-08-19,8e8520dc-13de-4a80-b461-b1fc2cc207b5,acceptance_collapse
2026-08-20,8e8520dc-13de-4a80-b461-b1fc2cc207b5,acceptance_collapse
2026-08-21,8e8520dc-13de-4a80-b461-b1fc2cc207b5,acceptance_collapse
2026-08-12,6bd2bb1a-b018-4cbc-94a5-94ac38427f6d,ghosting_spike
2026-08-13,6bd2bb1a-b018-4cbc-94a5-94ac38427f6d,ghosting_spike
2026-08-14,6bd2bb1a-b018-4cbc-94a5-94ac38427f6d,ghosting_spike
2026-08-15,6bd2bb1a-b018-4cbc-94a5-94ac38427f6d,ghosting_spike
2026-08-16,6bd2bb1a-b018-4cbc-94a5-94ac38427f6d,ghosting_spike
2026-08-17,6bd2bb1a-b018-4cbc-94a5-94ac38427f6d,ghosting_spike
2026-08-18,6bd2bb1a-b018-4cbc-94a5-94ac38427f6d,ghosting_spike
2026-08-19,6bd2bb1a-b018-4cbc-94a5-94ac38427f6d,ghosting_spike
2026-08-20,6bd2bb1a-b018-4cbc-94a5-94ac38427f6d,ghosting_spike
2026-08-21,6bd2bb1a-b018-4cbc-94a5-94ac38427f6d,ghosting_spike
